Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2022-03-18,135.00965881347656,135.12718720596732,131.17435293501333,132.3307953908697,44566000
2022-03-21,134.98583984375,135.92656630102422,132.99330550843302,135.04732810159504,26832000
2022-03-22,138.72146606445312,139.89378371835335,134.9858461376951,134.9858461376951,35496000
2022-03-23,137.14199829101562,138.44423861979692,136.7051184456803,137.56549993961835,25154000
2022-03-24,140.41151428222656,140.45812610885343,136.62133716164368,138.05894880404426,26396000
2022-03-25,140.5116729736328,140.87070507937713,138.59203769066454,140.7526772850465,24126000
2022-03-28,140.2959442138672,140.8384573543801,138.66540831827635,139.7454858770039,35050000
2022-03-29,141.3373565673828,142.6148082235357,140.87418935059165,141.47820601311636,34318000
2022-03-30,140.77499389648438,141.55058130392723,140.43926771554987,141.29221863890226,19884000
2022-03-31,137.9275360107422,140.9431091731122,137.88488921822,140.88855215145054,37524000
2022-04-01,139.00164794921875,139.31951637020538,137.17375319145697,138.356482806623,25942000
2022-04-04,141.79953002929688,142.53396895874045,139.16034726925992,139.20795791982718,25942000
2022-04-05,139.43853759765625,141.81835862566132,139.23175060773136,141.69786404034355,21418000
2022-04-06,135.42868041992188,138.21812553888182,134.40612601563646,137.6126258686909,32468000
2022-04-07,134.77459716796875,136.04013849416,133.1272020827794,134.89509176328988,26234000
2022-04-08,132.19493103027344,134.5578934974761,131.87556433172037,134.4721004910743,25142000
2022-04-11,127.76750183105469,131.009702203024,127.61377361707454,130.7429100506066,36884000
2022-04-12,126.66759490966797,130.52125019058332,125.7496824779024,130.52125019058332,32710000
2022-04-13,128.82923889160156,129.26563457471275,126.69388743885823,126.9507670450841,27928000
2022-04-14,125.69116973876953,129.40993832117093,125.56322179244722,129.40993832117093,31598000
2022-04-18,126.62989807128906,127.16149984822547,125.14764969712186,125.95894510688915,20808000
2022-04-19,128.9432830810547,129.26461711503015,125.95844660693362,126.64477542409657,26490000
2022-04-20,126.99041748046875,130.3218916355038,126.45485065417712,129.81904388797793,31696000
2022-04-21,123.7913589477539,129.03204110665789,123.50571776803207,128.1905009821093,36446000
2022-04-22,118.65481567382812,124.37404857874347,117.95014478551222,123.97534345046293,56884000
2022-04-25,122.06513977050781,122.26697049749592,117.5395474851339,118.12470752635328,46128000
2022-04-26,117.67739868164062,121.50575793064277,117.53953815889362,121.29202455748772,73054000
2022-04-27,113.35759735107422,116.28093039770941,111.81237005693657,113.53115828563,91820000
2022-04-28,117.55094146728516,118.66870208583143,113.17956960106591,115.46071897101857,48884000
2022-04-29,113.17411804199219,116.9533836790152,112.88153803374084,115.77760037683389,42676000
2022-05-02,115.62733459472656,115.78850102043891,111.67698273748518,112.47538421530977,35534000
2022-05-03,116.37218475341797,117.47110390717961,115.08333755024837,115.47608756923125,24968000
2022-05-04,121.25879669189453,121.84742986414153,114.1723618582886,116.07216443085974,49916000
2022-05-05,115.55048370361328,120.04682243338775,114.06277948042218,119.21866799050063,45840000
2022-05-06,114.7977066040039,116.60775134383856,113.08090065435618,114.24031691379543,39710000
2022-05-09,111.5887222290039,114.13368999515002,111.08240885566522,112.3216628968711,40802000
2022-05-10,113.457275390625,115.29707287210782,111.97502692676184,114.56065900721823,39900000
2022-05-11,112.67127227783203,115.41063248936665,112.30827513659509,112.30827513659509,37534000
2022-05-12,111.91899871826172,113.35810103264562,108.92424938909092,110.46452055455832,53836000
2022-05-13,115.09920501708984,116.90875017939355,112.67375572924637,113.594142514748,35038000
2022-05-16,113.50687408447266,115.2177324454328,112.95593136795685,114.01318748987721,25990000
2022-05-17,115.51824951171875,115.94175125327278,113.92839273794735,115.88273735100042,23054000
2022-05-18,110.98223876953125,114.45404808670412,110.64105684052672,114.05732544136315,35126000
2022-05-19,109.47916412353516,112.08363775970766,109.09830918068056,110.51807817312684,34144000
2022-05-20,108.0152587890625,111.26391395378205,104.92926830668526,111.03331404707964,48962000
2022-05-23,110.57410430908203,111.22819834582448,107.84962051186193,108.68918571926903,37184000
2022-05-24,105.10134887695312,105.58584704950131,101.0493357437059,104.90497385041874,76780000
2022-05-25,104.93768310546875,105.62698566700652,103.00515400506396,104.12489705414852,40258000
2022-05-26,106.90890502929688,107.75887468895839,104.3624465360755,104.8107448453719,37948000
2022-05-27,111.39580535888672,111.39729602913795,108.24385499776788,108.58553629317109,37914000
2022-05-31,112.82947540283203,114.78630197702584,111.1597731470303,111.82229671590991,50012000
2022-06-01,112.9583969116211,116.14159098002285,112.3216612422036,113.91350798260179,36606000
2022-06-02,116.6583251953125,116.93305500118844,112.02066027717234,113.0655218882824,37992000
2022-06-03,113.6020736694336,115.36798068092384,112.5879563145143,115.11110111753601,26136000
2022-06-06,115.86289978027344,118.36868641474054,115.21177950019366,115.74784575456003,33542000
2022-06-07,116.18920135498047,116.72626645111426,114.10889889465038,114.53388373543117,31590000
2022-06-08,116.23334503173828,117.59856463960712,115.64421237528563,115.80438756918971,26108000
2022-06-09,113.8941650390625,117.32927476403499,113.83515114216875,115.37393150433296,25798000
2022-06-10,110.25028228759766,112.3504249488664,109.46130149167207,111.52326180460535,41452000
